source,repo,trigger,schedule,last_run,script_or_workflow,provider,model,allowed_status,estimated_risk,recommended_lock
.github/workflows/agentic-ci.yml,Noetfield-Systems/sina-governance-SSOT,schedule/push/hourly,hourly,unknown,.github/workflows/agentic-ci.yml,none,none,ALLOW,LOW,keep; ensure no premium secrets on runners; cost_policy_enforcer must run first
.github/workflows/brain-loop-autorun-v1.yml,Noetfield-Systems/sina-governance-SSOT,cron/workflow_dispatch,6-hourly/manual,unknown,.github/workflows/brain-loop-autorun-v1.yml,CONDITIONAL,depends_on_deploy,BLOCK_SCHEDULED_IF_UNKNOWN,HIGH,observe-only by default; require receipts/cost_policy_pass.json + founder approval to enable deploy path
scripts/brain_loop_autorun_v1.sh,Noetfield-Systems/sina-governance-SSOT,invoked by workflow/launchd,6-hourly/local/CI,unknown,scripts/brain_loop_autorun_v1.sh,CONDITIONAL,depends_on_downstream,COND_HIGH,require observe-only on shared runners; enable full runs only on monitored dedicated runner with cost receipt
scripts/install_brain_loop_launchd_v1.sh,Noetfield-Systems/sina-governance-SSOT,local launchd install/enable,6-hourly or 24x7,unknown,scripts/install_brain_loop_launchd_v1.sh,LOCAL,depends_on_downstream,BLOCK_HIGH,disable by default on developer machines; only allow on monitored runner with receipts
scripts/promote_brain_worker_v1.sh,Noetfield-Systems/sina-governance-SSOT,manual/--autonomous-deploy,manual,unknown,scripts/promote_brain_worker_v1.sh,Cloudflare,Workers AI (open-source) [deployed],ALLOW_WITH_GUARDS,HIGH,require receipts/cost_policy_pass.json + ALLOW_REMOTE_DEPLOY=true + founder approval; restrict tokens
scripts/run_parallel_brain_candidates_v1.sh,Noetfield-Systems/sina-governance-SSOT,manual/autorun,manual/autorun,unknown,scripts/run_parallel_brain_candidates_v1.sh,EXTERNAL_VERIFIER,UNKNOWN_MODEL,BLOCK,HIGH,disable automated runs that call verifier_base_url; require verifier attestation + cost receipt
scripts/trigger_verifier_run_v1.py,Noetfield-Systems/sina-governance-SSOT,HTTP POST -> external verifier,ad-hoc/parallel,unknown,scripts/trigger_verifier_run_v1.py,External service,UNKNOWN_MODEL,BLOCK,HIGH,do not automate calls to verifier_base_url until provider/model/cost attested
scripts/brain_loop_self_heal_v1.sh,Noetfield-Systems/sina-governance-SSOT,invoked by autorun,6-hourly/triggered,unknown,scripts/brain_loop_self_heal_v1.sh,CONDITIONAL,may_call_verifier,MEDIUM-HIGH,disable auto re-verification in scheduled runs; require --no-verify by default and cost receipt to enable verify
scripts/brain_loop_self_heal_v1.py,Noetfield-Systems/sina-governance-SSOT,invoked by script,ad-hoc,unknown,scripts/brain_loop_self_heal_v1.py,CONDITIONAL,may_call_verifier,MEDIUM-HIGH,manual verification only until verifier attested
scripts/brain_loop_health_check_v1.py,Noetfield-Systems/sina-governance-SSOT,CI/autorun preflight,ad-hoc,unknown,scripts/brain_loop_health_check_v1.py,none,none,ALLOW,LOW,keep; used for receipts/health checks
cloud/workers/sourcea-brain-chat-v1,Noetfield-Systems/sina-governance-SSOT,external/runtime,always,unknown,cloud/workers/sourcea-brain-chat-v1,Cloudflare,Workers AI (open-source),ALLOW_WITH_MONITORING,MEDIUM,monitor invocation rate; usage receipts required; cap background jobs
receipts/*.json,Noetfield-Systems/sina-governance-SSOT,n/a,n/a,n/a,receipts/*.json,evidence,evidence,INFORMATIONAL,LOW,use receipts as evidence for allowed runs
IDE/Copilot/Cursor automations,Unknown,local/registered,varies,unknown,IDE/Copilot automation registry,UNKNOWN,UNKNOWN,BLOCK,HIGH,org-admin/devs must enumerate; fail-closed on unknown
other cloud scheduled jobs,Unknown,external,schedule-varies,unknown,cloud consoles,UNKNOWN,UNKNOWN,BLOCK,HIGH,org-admin to enumerate; disable until audit
